policy,long_horizon_normative_score,mean_task_value,mean_moral_residual,mean_history_debt,audit_best_choice_rate,constitutional_violation_rate,false_consensus_capture_rate,reorganization_trigger_rate
memoryless_contextual,0.8665457903038445,0.7102138885322101,0.6575302638783381,0.03487888845601342,0.68,0.0,0.0,0.0
moral_residual_only,0.9049211674298883,0.6637985088713108,0.46953182864775433,0.0010784715883196108,0.977199074074074,0.0,0.0,0.0
history_debt_only,0.8728759859537815,0.7043082467051347,0.6276369861559425,0.020443732859521602,0.7224537037037037,0.0,0.0,0.0
residual_plus_history,0.9049451156967684,0.6637665370878834,0.46941217799127616,0.0010332802945218602,0.9773842592592593,0.0,0.0,0.0
full_tdc_with_reorganization,0.9049492272418677,0.6637573450286027,0.4693916202657791,0.0010275000735543278,0.9774305555555556,0.0,0.0,6.944444444444444e-05
