policy,long_horizon_normative_score,B_phase_stale_error_rate,A_return_normative_score,A_return_recovery_lag,stored_residual_retention,constitutional_violation_rate,mean_task_value,audit_best_choice_rate
persistent_residual,0.9420694266362517,0.07827380952380952,0.9526411294607319,0.03571428571428571,0.0,0.0,0.6844981612804093,0.9425
simple_decay,0.9427762258155564,0.0,0.9531419232296017,0.017857142857142856,0.0,0.0,0.6893292465686343,0.9645039682539682
relevance_gate,0.9427708600318258,0.0,0.9531134193982451,0.017857142857142856,0.0,0.0,0.688729581658187,0.9650198412698413
revocable_persistent_memory,0.9425281782139356,0.02941468253968254,0.9526015639334395,0.03571428571428571,1.0,0.0,0.6893210203577871,0.961468253968254
memoryless_contextual,0.9427209814141684,0.0,0.9530319504052799,0.017857142857142856,0.0,0.0,0.6897304728219491,0.9624801587301587
