policy,short_term_value,medium_term_value,long_term_value,long_term_trajectory_value,world_harm_accumulation,correctability,irreversible_violation_rate,severe_long_term_violation_rate,uncertainty_underestimation_rate
tdc_longhorizon,0.6571783290811619,0.8174577251592546,0.8951919413730041,0.9078145855876817,0.5003381345521861,0.8943210043358057,0.001388888888888889,0.0015451388888888889,0.0003298611111111111
short_term_optimizer,0.9446486561041334,0.6257673176153705,0.35158663443650356,0.04875616355867426,0.9965547542414537,0.48811086976347523,0.6200173611111112,0.6253472222222223,0.3013194444444444
discounted_reward,0.7979148605148065,0.7848838199104058,0.7499281878830851,0.6336095209700785,0.8786043080260866,0.7547257470584043,0.13739583333333333,0.15661458333333333,0.06144097222222222
memoryless_longhorizon,0.6599913121941987,0.8201006064836758,0.898595452195938,0.9078166490479537,0.5085530927624031,0.8940297905406906,0.0036805555555555554,0.0056770833333333335,0.0011631944444444443
simple_principle,0.6556781095100632,0.8169909416945969,0.8951350138700613,0.9059620791464718,0.5050817702560453,0.8956250862256794,0.00578125,0.006961805555555555,0.0011805555555555556
