policy,long_horizon_normative_score,mean_task_value,constitutional_violation_rate,false_consensus_capture_rate,mean_moral_residual,mean_history_debt,reorganization_trigger_rate,reorganization_success_rate,audit_best_choice_rate
tdc_reorganizing,0.9047199269004746,0.6635376479757654,0.0,0.0,0.47046814326549025,0.0010817187465600626,2.777777777777778e-05,1.0,0.9765555555555555
contextual_principle_memoryless,0.8663019450467785,0.7102729677303656,0.0,0.0,0.6587489407177961,0.03469767878985563,0.0,0.0,0.6757222222222222
simple_principle,0.8201306777953897,0.7355053891689907,0.0,0.0,0.8653590989683917,0.11814428939343702,0.0,0.0,0.3685
reward_maximizer,0.3102042019890927,0.9203338114957204,0.8238333333333333,0.9747222222222223,0.9983573723806023,0.9945583991383911,0.0,0.0,0.0005833333333333334
authority_follower,0.2989673457462696,0.9194832251073846,0.8442777777777778,1.0,0.9984361813805738,0.996618176619536,0.0,0.0,0.0
