policy,long_horizon_normative_score,reversal_phase_normative_score,stale_trap_normative_score,return_A_recovery_score,mean_task_value,mean_residual,stale_residual_error_rate,constitutional_violation_rate,audit_best_choice_rate,mean_gate
memoryless_contextual,0.9392274281167606,0.9493768313530235,0.948928598456804,0.9326941533992631,0.6924498863302145,0.29960475541241816,0.0,0.0,0.972905982905983,1.0
persistent_residual,0.9371941221083782,0.9453827174108046,0.9450102600889441,0.9318254829247834,0.6816115106364914,0.9657286224578525,0.18808760683760684,0.0,0.9084188034188034,1.0
decaying_residual,0.9392279487060334,0.9493747976197467,0.9489357585182051,0.9327292065910346,0.6916278625972244,0.13432480090301213,0.0,0.0,0.9727564102564102,1.0
relevance_gated_residual,0.9391279819795512,0.949274334232107,0.9488229691316783,0.9325712534215973,0.6909847596079429,0.30010573754762143,0.0,0.0,0.969594017094017,0.9076923076923077
full_tdc_relevance_gated,0.9391279819795512,0.949274334232107,0.9488229691316783,0.9325712534215973,0.6909847596079429,0.30010573754762143,0.0,0.0,0.969594017094017,0.9076923076923077
